text_input,output
"Hi, I have itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches. What should I do?","It seems like you have Fungal infection. Don't worry.In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.You can bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths. "
"Hi, I have  skin_rash,  nodal_skin_eruptions,  dischromic _patches. What should I do?","It seems like you have Fungal infection. Don't worry.In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.You can bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths. "
"Hi, I have itching,  nodal_skin_eruptions,  dischromic _patches. What should I do?","It seems like you have Fungal infection. Don't worry.In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.You can bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths. "
"Hi, I have itching,  skin_rash,  dischromic _patches. What should I do?","It seems like you have Fungal infection. Don't worry.In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.You can bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths. "
"Hi, I have itching,  skin_rash,  nodal_skin_eruptions. What should I do?","It seems like you have Fungal infection. Don't worry.In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.You can bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths. "
"Hi, I have  skin_rash,  nodal_skin_eruptions,  dischromic _patches. What should I do?","It seems like you have Fungal infection. Don't worry.In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.You can bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths. "
"Hi, I have itching,  nodal_skin_eruptions,  dischromic _patches. What should I do?","It seems like you have Fungal infection. Don't worry.In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.You can bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths. "
"Hi, I have itching,  skin_rash,  dischromic _patches. What should I do?","It seems like you have Fungal infection. Don't worry.In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.You can bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths. "
"Hi, I have itching,  skin_rash,  nodal_skin_eruptions. What should I do?","It seems like you have Fungal infection. Don't worry.In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.You can bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths. "
"Hi, I have itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches. What should I do?","It seems like you have Fungal infection. Don't worry.In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.You can bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths. "
